"PROD_ID","PROD_NAME","PROD_DESC","PROD_CATEGORY","PROD_CATEGORY_ID","PROD_CATEGORY_DESC","PROD_WEIGHT_CLASS","SUPPLIER_ID","PROD_STATUS","PROD_LIST_PRICE","PROD_MIN_PRICE"
13,"5MP Telephoto Digital Camera","5MP Telephoto Digital Camera","Photo",204,"Photo",1,1,"STATUS",899.99,899.99
14,"17"" LCD w/built-in HDTV Tuner","17"" LCD w/built-in HDTV Tuner","Peripherals and Accessories",203,"Peripherals and Accessories",1,1,"STATUS",999.99,999.99
15,"Envoy 256MB - 40GB","Envoy 256MB - 40Gb","Hardware",202,"Hardware",1,1,"STATUS",999.99,999.99
16,"Y Box","Y Box","Electronics",201,"Electronics",1,1,"STATUS",299.99,299.99
17,"Mini DV Camcorder with 3.5"" Swivel LCD","Mini DV Camcorder with 3.5"" Swivel LCD","Photo",204,"Photo",1,1,"STATUS",1099.99,1099.99
18,"Envoy Ambassador","Envoy Ambassador","Hardware",202,"Hardware",1,1,"STATUS",1299.99,1299.99
19,"Laptop carrying case","Laptop carrying case","Software/Other",205,"Software/Other",1,1,"STATUS",55.99,55.99
20,"Home Theatre Package with DVD-Audio/Video Play","Home Theatre Package with DVD-Audio/Video Play","Electronics",201,"Electronics",1,1,"STATUS",599.99,599.99
21,"18"" Flat Panel Graphics Monitor","18"" Flat Panel Graphics Monitor","Peripherals and Accessories",203,"Peripherals and Accessories",1,1,"STATUS",899.99,899.99
22,"Envoy External Keyboard","Envoy External Keyboard","Peripherals and Accessories",203,"Peripherals and Accessories",1,1,"STATUS",24.99,24.99
23,"External 101-key keyboard","External 101-key keyboard","Software/Other",205,"Software/Other",1,1,"STATUS",21.99,21.99
24,"PCMCIA modem/fax 28800 baud","PCMCIA modem/fax 28800 baud","Peripherals and Accessories",203,"Peripherals and Accessories",1,1,"STATUS",45.99,45.99
25,"SIMM- 8MB PCMCIAII card","SIMM- 8MB PCMCIAII card","Peripherals and Accessories",203,"Peripherals and Accessories",1,1,"STATUS",112.99,112.99
