"PROMO_ID","PROMO_NAME","PROMO_COST","PROMO_BEGIN_DATE","PROMO_END_DATE"
999,"NO PROMOTION #",0,01-JAN-99,01-JAN-99
108,"newspaper promotion #16-108",200,23-DEC-00,23-JAN-01
232,"post promotion #20-232",300,25-SEP-98,25-NOV-98
349,"newspaper promotion #16-349",400,10-JUL-98,10-SEP-98
471,"internet promotion #14-471",600,26-FEB-00,26-MAR-00
448,"TV promotion #13-448",1100,06-AUG-00,06-SEP-00
86,"internet promotion #25-86",1400,20-SEP-98,20-NOV-98
49,"TV promotion #12-49",1500,10-AUG-00,10-SEP-00
166,"post promotion #21-166",2000,25-SEP-98,25-NOV-98
210,"newspaper promotion #19-210",2100,19-MAR-99,19-JUN-99
282,"post promotion #20-282",2300,06-DEC-00,06-JAN-01
327,"newspaper promotion #16-327",2800,09-APR-99,09-JUL-99
289,"internet promotion #29-289",3000,01-NOV-98,01-JAN-99
252,"TV promotion #12-252",3100,20-JUN-98,20-AUG-98
258,"magazine promotion #26-258",3200,04-MAY-00,04-JUN-00
528,"internet promotion #29-528",3400,15-DEC-00,15-JAN-01
324,"newspaper promotion #16-324",3600,17-FEB-00,17-MAR-00
406,"radio promotion #32-406",4000,11-SEP-98,11-NOV-98
84,"newspaper promotion #19-84",4100,27-JAN-99,27-APR-99
449,"post promotion #20-449",4200,10-NOV-98,10-JAN-99
308,"internet promotion #25-308",4300,23-DEC-00,23-JAN-01
412,"newspaper promotion #19-412",4500,03-JUN-98,03-AUG-98
82,"TV promotion #13-82",4800,06-DEC-00,06-JAN-01
152,"newspaper promotion #27-152",5100,12-FEB-00,12-MAR-00
224,"TV promotion #13-224",5200,02-AUG-00,02-SEP-00
88,"post promotion #21-88",5400,07-AUG-00,07-SEP-00
266,"internet promotion #29-266",5500,13-JUN-98,13-AUG-98
479,"TV promotion #13-479",5700,17-MAR-99,17-JUN-99
497,"newspaper promotion #16-497",5900,25-MAR-99,25-JUN-99
407,"post promotion #20-407",6100,16-APR-99,16-JUL-99
199,"post promotion #21-199",6400,13-JUN-98,13-AUG-98
403,"magazine promotion #26-403",6500,17-JUL-98,17-SEP-98
91,"internet promotion #29-91",6600,03-AUG-00,03-SEP-00
268,"post promotion #17-268",6800,18-DEC-00,18-JAN-01
387,"TV promotion #13-387",7100,24-OCT-99,24-JAN-00
206,"magazine promotion #18-206",7200,11-SEP-98,11-NOV-98
367,"TV promotion #13-367",7300,17-AUG-00,17-SEP-00
48,"newspaper promotion #19-48",7600,06-APR-99,06-JUL-99
426,"TV promotion #13-426",7700,02-JUN-98,02-AUG-98
78,"newspaper promotion #19-78",7800,21-MAY-00,21-JUN-00
118,"TV promotion #13-118",7900,12-MAY-00,12-JUN-00
212,"TV promotion #12-212",8100,03-JUN-98,03-AUG-98
325,"magazine promotion #18-325",8200,14-FEB-00,14-MAR-00
297,"post promotion #21-297",8300,15-JAN-99,15-APR-99
368,"newspaper promotion #27-368",8700,18-NOV-98,18-JAN-99
59,"post promotion #20-59",8800,02-FEB-00,02-MAR-00
264,"TV promotion #13-264",8900,15-MAR-99,15-JUN-99
532,"TV promotion #30-532",9400,18-SEP-98,18-NOV-98
322,"internet promotion #14-322",9600,01-JUL-98,01-SEP-98
337,"TV promotion #13-337",9700,08-JAN-99,08-APR-99
64,"internet promotion #29-64",9800,31-MAR-99,30-JUN-99
65,"newspaper promotion #19-65",9900,13-MAY-00,13-JUN-00
483,"TV promotion #13-483",10000,20-NOV-98,20-JAN-99
393,"post promotion #20-393",10200,02-SEP-98,02-NOV-98
153,"TV promotion #13-153",10300,20-SEP-98,20-NOV-98
196,"newspaper promotion #19-196",10400,04-NOV-98,04-JAN-99
527,"internet promotion #14-527",10500,04-OCT-99,04-JAN-00
