"TIME_ID","DAY_NAME","DAY_NUMBER_IN_WEEK","DAY_NUMBER_IN_MONTH","CALENDAR_WEEK_NUMBER","CALENDAR_MONTH_NUMBER","CALENDAR_MONTH_DESC","END_OF_CAL_MONTH","CALENDAR_QUARTER_DESC","CALENDAR_YEAR"
01-JAN-98,"Thursday",4,1,1,1,"1998-01",31-JAN-98,"1998-01",1998
02-JAN-98,"Friday",5,2,1,1,"1998-01",31-JAN-98,"1998-01",1998
03-JAN-98,"Saturday",6,3,1,1,"1998-01",31-JAN-98,"1998-01",1998
04-JAN-98,"Sunday",7,4,1,1,"1998-01",31-JAN-98,"1998-01",1998
05-JAN-98,"Monday",1,5,2,1,"1998-01",31-JAN-98,"1998-01",1998
06-JAN-98,"Tuesday",2,6,2,1,"1998-01",31-JAN-98,"1998-01",1998
07-JAN-98,"Wednesday",3,7,2,1,"1998-01",31-JAN-98,"1998-01",1998
08-JAN-98,"Thursday",4,8,2,1,"1998-01",31-JAN-98,"1998-01",1998
09-JAN-98,"Friday",5,9,2,1,"1998-01",31-JAN-98,"1998-01",1998
10-JAN-98,"Saturday",6,10,2,1,"1998-01",31-JAN-98,"1998-01",1998
11-JAN-98,"Sunday",7,11,2,1,"1998-01",31-JAN-98,"1998-01",1998
12-JAN-98,"Monday",1,12,3,1,"1998-01",31-JAN-98,"1998-01",1998
13-JAN-98,"Tuesday",2,13,3,1,"1998-01",31-JAN-98,"1998-01",1998
14-JAN-98,"Wednesday",3,14,3,1,"1998-01",31-JAN-98,"1998-01",1998
15-JAN-98,"Thursday",4,15,3,1,"1998-01",31-JAN-98,"1998-01",1998
16-JAN-98,"Friday",5,16,3,1,"1998-01",31-JAN-98,"1998-01",1998
17-JAN-98,"Saturday",6,17,3,1,"1998-01",31-JAN-98,"1998-01",1998
18-JAN-98,"Sunday",7,18,3,1,"1998-01",31-JAN-98,"1998-01",1998
19-JAN-98,"Monday",1,19,4,1,"1998-01",31-JAN-98,"1998-01",1998
20-JAN-98,"Tuesday",2,20,4,1,"1998-01",31-JAN-98,"1998-01",1998
21-JAN-98,"Wednesday",3,21,4,1,"1998-01",31-JAN-98,"1998-01",1998
22-JAN-98,"Thursday",4,22,4,1,"1998-01",31-JAN-98,"1998-01",1998
23-JAN-98,"Friday",5,23,4,1,"1998-01",31-JAN-98,"1998-01",1998
24-JAN-98,"Saturday",6,24,4,1,"1998-01",31-JAN-98,"1998-01",1998
25-JAN-98,"Sunday",7,25,4,1,"1998-01",31-JAN-98,"1998-01",1998
26-JAN-98,"Monday",1,26,5,1,"1998-01",31-JAN-98,"1998-01",1998
27-JAN-98,"Tuesday",2,27,5,1,"1998-01",31-JAN-98,"1998-01",1998
28-JAN-98,"Wednesday",3,28,5,1,"1998-01",31-JAN-98,"1998-01",1998
29-JAN-98,"Thursday",4,29,5,1,"1998-01",31-JAN-98,"1998-01",1998
30-JAN-98,"Friday",5,30,5,1,"1998-01",31-JAN-98,"1998-01",1998
31-JAN-98,"Saturday",6,31,5,1,"1998-01",31-JAN-98,"1998-01",1998
01-FEB-98,"Sunday",7,1,5,2,"1998-02",28-FEB-98,"1998-01",1998
02-FEB-98,"Monday",1,2,6,2,"1998-02",28-FEB-98,"1998-01",1998
03-FEB-98,"Tuesday",2,3,6,2,"1998-02",28-FEB-98,"1998-01",1998
04-FEB-98,"Wednesday",3,4,6,2,"1998-02",28-FEB-98,"1998-01",1998
05-FEB-98,"Thursday",4,5,6,2,"1998-02",28-FEB-98,"1998-01",1998
06-FEB-98,"Friday",5,6,6,2,"1998-02",28-FEB-98,"1998-01",1998
07-FEB-98,"Saturday",6,7,6,2,"1998-02",28-FEB-98,"1998-01",1998
08-FEB-98,"Sunday",7,8,6,2,"1998-02",28-FEB-98,"1998-01",1998
09-FEB-98,"Monday",1,9,7,2,"1998-02",28-FEB-98,"1998-01",1998
10-FEB-98,"Tuesday",2,10,7,2,"1998-02",28-FEB-98,"1998-01",1998
11-FEB-98,"Wednesday",3,11,7,2,"1998-02",28-FEB-98,"1998-01",1998
12-FEB-98,"Thursday",4,12,7,2,"1998-02",28-FEB-98,"1998-01",1998
13-FEB-98,"Friday",5,13,7,2,"1998-02",28-FEB-98,"1998-01",1998
14-FEB-98,"Saturday",6,14,7,2,"1998-02",28-FEB-98,"1998-01",1998
15-FEB-98,"Sunday",7,15,7,2,"1998-02",28-FEB-98,"1998-01",1998
16-FEB-98,"Monday",1,16,8,2,"1998-02",28-FEB-98,"1998-01",1998
17-FEB-98,"Tuesday",2,17,8,2,"1998-02",28-FEB-98,"1998-01",1998
18-FEB-98,"Wednesday",3,18,8,2,"1998-02",28-FEB-98,"1998-01",1998
19-FEB-98,"Thursday",4,19,8,2,"1998-02",28-FEB-98,"1998-01",1998
20-FEB-98,"Friday",5,20,8,2,"1998-02",28-FEB-98,"1998-01",1998
21-FEB-98,"Saturday",6,21,8,2,"1998-02",28-FEB-98,"1998-01",1998
22-FEB-98,"Sunday",7,22,8,2,"1998-02",28-FEB-98,"1998-01",1998
23-FEB-98,"Monday",1,23,9,2,"1998-02",28-FEB-98,"1998-01",1998
24-FEB-98,"Tuesday",2,24,9,2,"1998-02",28-FEB-98,"1998-01",1998
25-FEB-98,"Wednesday",3,25,9,2,"1998-02",28-FEB-98,"1998-01",1998
26-FEB-98,"Thursday",4,26,9,2,"1998-02",28-FEB-98,"1998-01",1998
27-FEB-98,"Friday",5,27,9,2,"1998-02",28-FEB-98,"1998-01",1998
28-FEB-98,"Saturday",6,28,9,2,"1998-02",28-FEB-98,"1998-01",1998
01-MAR-98,"Sunday",7,1,9,3,"1998-03",31-MAR-98,"1998-01",1998
02-MAR-98,"Monday",1,2,10,3,"1998-03",31-MAR-98,"1998-01",1998
03-MAR-98,"Tuesday",2,3,10,3,"1998-03",31-MAR-98,"1998-01",1998
04-MAR-98,"Wednesday",3,4,10,3,"1998-03",31-MAR-98,"1998-01",1998
05-MAR-98,"Thursday",4,5,10,3,"1998-03",31-MAR-98,"1998-01",1998
06-MAR-98,"Friday",5,6,10,3,"1998-03",31-MAR-98,"1998-01",1998
07-MAR-98,"Saturday",6,7,10,3,"1998-03",31-MAR-98,"1998-01",1998
08-MAR-98,"Sunday",7,8,10,3,"1998-03",31-MAR-98,"1998-01",1998
09-MAR-98,"Monday",1,9,11,3,"1998-03",31-MAR-98,"1998-01",1998
